ステップ数,時間ステップ,密度rho,温度T,圧力P,マッハ数M
253.0,0.0104615515067497,0.6990754974942446,0.8404515938051136,0.5875391160591406,1.0375791018946514
254.0,0.010459009353789295,0.6984958363757067,0.8401540858208522,0.5868441308599034,1.0370746177869699
255.0,0.010456479605246908,0.6979314451690845,0.8398635034117573,0.5861671486809381,1.0365980889510231
256.0,0.010453951536842115,0.6973818155490734,0.8395796306588605,0.5855075671268967,1.0361483568973837
257.0,0.010451416827039936,0.6968460076788162,0.8393020407697754,0.584864276347101,1.0357237988735999
258.0,0.01044887072824678,0.6963227050475045,0.839030122164121,0.5842357242816588,1.0353223978850508
259.0,0.010446312764279993,0.69581027633713,0.8387631081536607,0.5836199900657887,1.0349418196248699
260.0,0.010443747016601447,0.6953068423573577,0.8385001092431364,0.5830148632741448,1.034579493924473
261.0,0.0104411820579547,0.6948103460027023,0.8382401470316934,0.582417926592447,1.0342326982761918
262.0,0.010438629216699271,0.6943186232250411,0.8379821887147509,0.5818266395555325,1.0338986410364142
263.0,0.010436101400974205,0.6938294729452572,0.8377251811503571,0.5812384209105224,1.0335745419346776
264.0,0.01043361490666162,0.6933407238223532,0.8374680834503149,0.5806507271575603,1.0332577076241638
265.0,0.01043118904616602,0.6928502962073857,0.8372098972690903,0.5800611253106442,1.0329456004080226
266.0,0.010428845442085912,0.6923562577346699,0.8369496940264595,0.5794673580683365,1.0326358984993442
267.0,0.0104266070834598,0.6918568712671012,0.8366866384328937,0.5788673998971702,1.0323265465113567
268.0,0.01042449725146904,0.6913506342154289,0.83642000783733,0.578259502888812,1.0320157952481017
269.0,0.010422538414727801,0.6908363085791521,0.8361492070782616,0.5776422316393313,1.0317022302573144
270.0,0.01042075117437738,0.6903129413945113,0.835873778683767,0.5770144867977359,1.0313847889990768
271.0,0.010419153322359365,0.6897798756074205,0.8355934084268346,0.5763755173230425,1.0310627668592895
272.0,0.010417759057967838,0.6892367517022355,0.8353079263927741,0.5757249218580857,1.0307358125817276
